index,Позитив,Негатив,Комментарий,Отзывы
0,"хорошо впитывают, не протекают, размер М для 7.2 кг отлично подходит ",нет ,"соотношение цена-качество 🔥 достаточно мягкие, не сильно тонкие, но это и не обещалось) сидят на ребенке 7+ хорошо, не комкуются между ножек. резиночи хорошие, липучки удобные. не хуже других разрекламированных подгузников. со скидкой вообще отлично, стремимся к 10-12 руб за штуку ","хорошо впитывают, не протекают, размер м для 7 2 кг отлично подходит , нет , соотношение ценакачество  достаточно мягкие, не сильно тонкие, но это и не обещалось сидят на ребенке 7 хорошо, не комкуются между ножек  резиночи хорошие, липучки удобные  не хуже других разрекламированных подгузников  со скидкой вообще отлично, стремимся к 1012 руб за штуку "
1,"Мягкие внутри, хорошо впитывают, нет запаха ",нет ,"Нам они понравились и цена отличная. Брали 2 раза уже. Третий тоже возьмем. Протекали всего пару раз. Попа у ребенка сухая, раздражений нет. На спинке у подгузников есть резинка. Ножки не перетягивают, по размеру хорошо идут. Нам сейчас 4 мес, вес почти 6 кг. ","мягкие внутри, хорошо впитывают, нет запаха , нет , нам они понравились и цена отличная  брали 2 раза уже  третий тоже возьмем  протекали всего пару раз  попа у ребенка сухая, раздражений нет  на спинке у подгузников есть резинка  ножки не перетягивают, по размеру хорошо идут  нам сейчас 4 мес, вес почти 6 кг  "
2,"мягкие, легкие, не комкаются ",нет ,"подгузники понравились,тонкие, внутри мягкие, прияные на ощупь, рисунок с обезьянками. Есть индикатор наполняемости, хорошие липучки. Привлекла цена, осталась довольна. Качественные подгузники, рекомендую ","мягкие, легкие, не комкаются , нет , подгузники понравились,тонкие, внутри мягкие, прияные на ощупь, рисунок с обезьянками  есть индикатор наполняемости, хорошие липучки  привлекла цена, осталась довольна  качественные подгузники, рекомендую "
3,очень хорошие трусики особенно для мальчика так как многие фирмы наполняют только с перейди а тут распределение по всем трусикам  ,нет  ,,"очень хорошие трусики особенно для мальчика так как многие фирмы наполняют только с перейди а тут распределение по всем трусикам  , нет  , "
4,"Не протекают, мягкие, тонкие, хорошая резинка, не натирают  ",Нет  ,Заказываем уже далеко не первый раз. Очень довольны.  ,"не протекают, мягкие, тонкие, хорошая резинка, не натирают  , нет  , заказываем уже далеко не первый раз  очень довольны   "
5,"мягкие, не вызывают аллергии ",,"Подгузники понравились. Мягкие и приятные на ощупь. Хорошо впитывают, ночь выдерживают. Не вызвают аллергии или высыпаний. Хорошее лекало. Нормальная цена. Посоветовала подруге для малыша, им тоже подошли и понравились.  ","мягкие, не вызывают аллергии , , подгузники понравились  мягкие и приятные на ощупь  хорошо впитывают, ночь выдерживают  не вызвают аллергии или высыпаний  хорошее лекало  нормальная цена  посоветовала подруге для малыша, им тоже подошли и понравились   "
6,Нам подошли ,Нет ,"Хорошие дневные подгузы, на ночь даже не пробовала, пользуемся другими. Тоненькие, не протекают, попа сухая, цена тоже приемлемая ","нам подошли , нет , хорошие дневные подгузы, на ночь даже не пробовала, пользуемся другими  тоненькие, не протекают, попа сухая, цена тоже приемлемая "
7,"Мягкие 
Нет неприятного запаха 
 ","Наполняются быстро (у меня мальчик ), сильно разбухает спереди. 
Попа влажная (на видео можно наглядно посмотреть опыт с сухой салфеткой). 
 ","Я бы не сказала , что совсем плохие. На оценку 4. 
На фото подгузнику 2 часа (где он полон).  ","мягкие нет неприятного запаха  , наполняются быстро у меня мальчик , сильно разбухает спереди  попа влажная на видео можно наглядно посмотреть опыт с сухой салфеткой   , я бы не сказала , что совсем плохие  на оценку 4  на фото подгузнику 2 часа где он полон   "
8,Отличные подгузники. Очень мягкие. Резиночка на спине.  ,"У индикаторных полосок тусклый цвет. Не сразу видно, что подгузник наполнен.  ",На ребенка 5.5 кг сели отлично.  ,"отличные подгузники  очень мягкие  резиночка на спине   , у индикаторных полосок тусклый цвет  не сразу видно, что подгузник наполнен   , на ребенка 5 5 кг сели отлично   "
9,"мягкие, не протекают ","в наполненном виде смотрится как парашют , внешне выглядят обьемными , даже пустые  ","очень довольна , не вызывают раздражения, на 12.8 кг , среднего телосложения ребенка размер 4 идеально, подгузники эти беру на сон, день и ночь, за ночь меняю 2шт , тк ребенок пьет много воды и кефира, бывало и 3 шт меняла , но редко , в основном 2... ","мягкие, не протекают , в наполненном виде смотрится как парашют , внешне выглядят обьемными , даже пустые  , очень довольна , не вызывают раздражения, на 12 8 кг , среднего телосложения ребенка размер 4 идеально, подгузники эти беру на сон, день и ночь, за ночь меняю 2шт , тк ребенок пьет много воды и кефира, бывало и 3 шт меняла , но редко , в основном 2    "
