index,Отзывы,Звузды,original
0,"хороший, но есть один минус, когда в ставляешь блок питания он шатается и надо придерживать его",5,"Хороший, но есть один минус, когда в ставляешь блок питания он шатается и надо придерживать его."
1,то что нужно вечно у гирлянд шнур короткий,5,То что нужно! Вечно у гирлянд шнур короткий.
2,"пошел целый, очень удобная вещь",5,"Пошёл целый, очень удобная вещь"
3,"удлинитель пришел быстро ,работает",5,"Удлинитель пришёл быстро ,работает"
4,полностью соответствует описанию,5,Полностью соответствует описанию
5,"повесила на улицу, на всякий случай замотала аккуратно пищевой пленкой соединение с вилкой работает, я довольна покупкой",5,"Повесила на улицу, на всякий случай замотала аккуратно пищевой плёнкой соединение с вилкой. Работает, я довольна покупкой"
6,"удлинители рабочие,это самое главное",5,"Удлинители рабочие,это самое главное)"
7,"просто шикарный удлинитель за свои деньги работает, запаха нет",5,"Просто шикарный удлинитель за свои деньги! Работает, запаха нет."
8,хорошего качества спасибо,5,Хорошего качества. Спасибо.
9,спасибо большое все работает,5,Спасибо большое все работает
10,все хорошо работает отличный удлинитель,5,Всё хорошо работает! Отличный удлинитель!
11,"удлинитель хороший, рабочий",5,"Удлинитель хороший, рабочий"
12,"удлинитель соответствует описанию, рекомендую к покупке",5,"Удлинитель соответствует описанию, рекомендую к покупке"
13,все отлично товар пришел целым,5,Всё отлично. Товар пришёл целым.
14,"все хорошо подклили, работает",5,"Все хорошо. Подклили, работает"
15,"хороший удлинитель для гирлянд доставлено быстро, работает",5,"Хороший удлинитель для гирлянд. Доставлено быстро, работает."
16,прекрасный удлинитель очень удобно,5,Прекрасный удлинитель. Очень удобно
17,"отличный товар, в прошлом году покупали дороже",5,"Отличный товар, в прошлом году покупали дороже."
18,"работает,качество на высоте",5,"Работает,качество на высоте"
19,все соответствует описанию,5,Все соответствует описанию.
20,как и ожидалось рекомендую,5,Как и ожидалось. Рекомендую
21,"спасибо, все работаетаккуратный удлинитель",5,"Спасибо, все работает.Аккуратный удлинитель."
22,"удлинители классные, легкие и практически не заметные",5,"Удлинители классные, лёгкие и практически не заметные."
23,доставлено в рабочем состоянии,5,Доставлено в рабочем состоянии.
24,вспыхнул в розетке и отвалился провод от вилки и почернел,1,Вспыхнул в розетке и отвалился провод от вилки и почернел.
25,удлинитель не работает фонарики у меня не горят подсоединяю свой удлинитель у меня все горит я очень разочарована этим товаром не рекомендую покупать его повелась на цену,1,Удлинитель не работает. фонарики у меня не горят .подсоединяю свой удлинитель У меня всё горит. я очень разочарована этим товаром. Не рекомендую покупать его. Повелась на цену
26,"хорошо работает, ценой довольна, доставили быстро",5,"Хорошо работает, ценой довольна, доставили быстро"
